Image_name,center_x,center_y,len_a,len_b,angle_in_radian
032254.jpg,114,105,192,229,1.8304846267979402
032255.jpg,103,107,152,165,2.2681346719038937
032257.jpg,110,116,162,226,2.251599903643919
032259.jpg,112,108,166,182,0.9265485640698198
032260.jpg,114,109,202,233,2.876919714974448
032261.jpg,115,107,147,165,1.8816334318520564
032262.jpg,112,120,227,250,2.7169462914544784
032264.jpg,112,114,172,251,0.763961980309237
032265.jpg,109,114,180,220,0.7577994255467936
032266.jpg,121,116,192,210,1.513775917327428
032267.jpg,127,128,183,229,2.316809000831163
032268.jpg,121,107,189,213,0.661392661190789
032269.jpg,121,110,177,202,1.2393347701497814
032270.jpg,110,127,191,239,0.6101853997507454
032271.jpg,108,107,182,186,2.37502703384084
032272.jpg,103,100,196,238,2.217025947424183
025756.jpg,107,109,177,223,2.3307072396119595
025757.jpg,116,109,206,250,0.9656959002505213
025758.jpg,120,106,203,210,2.780768414346009
025759.jpg,139,109,190,196,2.3971714846209577
025760.jpg,111,108,183,227,1.7195529152776161
025762.jpg,111,110,225,247,0.14796802648394705
025764.jpg,105,131,201,219,0.7265553527960384
025768.jpg,110,110,158,188,1.1759343588168645
025769.jpg,118,104,191,205,2.9336849936094875
025770.jpg,119,106,226,257,0.6580094479209796
025772.jpg,117,109,201,210,1.0734156397591281
025774.jpg,115,112,167,174,0.4712048428660296
025776.jpg,108,123,200,224,3.047087719147241
025779.jpg,112,112,182,217,1.3001003830582283
025780.jpg,124,107,171,214,1.9424195511008973
025782.jpg,116,114,169,204,1.9445890952829301
025783.jpg,109,115,156,231,1.7708230273193857
008076.jpg,108,111,186,202,2.6751732781760404
008077.jpg,118,123,121,194,1.6392655326305614
008078.jpg,36,68,92,126,0.8406640157597454
008080.jpg,102,115,202,228,0.4481254560957258
008081.jpg,120,106,195,256,0.9486493390080603
008082.jpg,116,99,193,247,1.2889739623399863
008083.jpg,122,107,172,247,1.740437824020181
008084.jpg,83,113,148,180,0.4043315030240812
008085.jpg,111,118,150,209,0.8827554765255295
008086.jpg,91,98,173,201,0.7929357082306996
008087.jpg,112,108,164,222,2.0304287693286365
008088.jpg,113,119,170,187,2.107450051214818
008089.jpg,108,126,175,216,2.3560397605330112
008090.jpg,117,108,153,210,1.5450559427528994
008091.jpg,108,97,127,171,1.827537972209822
008093.jpg,122,125,203,223,2.489124844423105
008094.jpg,116,109,180,222,0.7511102306787871
008095.jpg,123,109,145,161,1.61598244732638
008096.jpg,114,92,202,226,1.5001503862422558
008098.jpg,111,111,231,251,0.0827341369314299
008099.jpg,120,121,177,225,2.4483079059760056
008100.jpg,124,104,161,203,2.1159244961195594
008101.jpg,109,114,204,235,0.014629452310267108
013930.jpg,104,107,222,239,0.019904166381629593
013932.jpg,100,113,182,211,2.5246913607811132
013933.jpg,109,125,207,219,0.008474613953052526
013934.jpg,97,129,222,251,2.4377173132690872
013935.jpg,115,109,184,209,0.11313993811719056
013937.jpg,106,114,189,231,0.5268560546380611
013938.jpg,109,107,209,221,1.1257952912900517
013939.jpg,115,105,199,228,2.1527285834361276
013940.jpg,117,115,142,199,1.4487005108269058
013941.jpg,119,108,199,249,1.0854266294334398
013943.jpg,124,108,206,222,1.1280473934658772
013944.jpg,114,104,169,252,2.204377929617124
013946.jpg,103,111,201,213,0.4425016588218054
013947.jpg,198,56,74,114,2.9139589594152704
013948.jpg,115,124,219,239,2.0608477947736854
013949.jpg,92,98,165,211,2.2319001015864393
013950.jpg,36,42,90,120,0.7126371403070664
013951.jpg,102,109,171,244,2.0127788023621913
013952.jpg,137,123,188,221,2.3319802306130173
013953.jpg,119,103,195,233,2.416526540475327
013957.jpg,115,111,188,199,0.9944751508333808
013958.jpg,117,112,175,198,1.968137298273629
013960.jpg,106,110,199,220,2.4204693504691894
013961.jpg,128,109,178,208,1.4743815063765942
013962.jpg,100,114,166,195,0.9366006656043239
013963.jpg,115,107,197,212,0.6281835084506916
013964.jpg,117,105,192,236,0.9509738125865087
013965.jpg,116,122,209,225,3.082338118283857
013966.jpg,171,14,49,148,1.6274826427036146
013967.jpg,119,111,162,218,0.9896604218986266
034698.jpg,118,120,144,192,1.204096088921962
034699.jpg,112,96,175,238,2.288534485853901
034702.jpg,104,111,170,202,2.0583549428353165
034705.jpg,114,112,241,254,0.34619865787977294
034707.jpg,120,116,172,207,2.0776597981031375
034708.jpg,112,98,142,209,0.7131936743958657
034709.jpg,110,116,204,241,0.0091907592962695
034711.jpg,106,102,170,211,2.000025856008183
034712.jpg,109,125,215,227,2.946377353048696
034713.jpg,104,109,151,185,1.7308865299286664
034714.jpg,109,109,185,201,1.8354928343858887
034715.jpg,124,110,201,228,1.7666617049580822
034716.jpg,110,106,167,225,2.1692088900518103
034718.jpg,105,113,170,198,1.6918706873267875
034719.jpg,109,123,212,243,0.2064498455995966
034720.jpg,107,109,178,207,1.3868975966738728
034721.jpg,91,107,178,195,2.051413679770134
034722.jpg,121,106,169,197,1.946215887234805
034723.jpg,103,127,134,175,1.6470968241320483
034724.jpg,117,109,114,179,1.1274019763756966
034725.jpg,111,110,143,204,1.465074157840931
034726.jpg,114,97,178,250,2.4180850223452413
034727.jpg,114,106,189,200,1.9341945112322418
020446.jpg,108,96,183,214,2.752327451800617
020447.jpg,150,200,63,188,1.5617113522102548
020448.jpg,111,105,139,155,1.715149112099061
020449.jpg,106,122,198,220,0.13231708648836374
020450.jpg,107,123,181,256,2.411489171273442
020451.jpg,108,113,141,183,1.8851527992325963
020452.jpg,115,113,182,243,0.6705563321856426
020453.jpg,118,116,143,170,1.8916194869915266
020454.jpg,103,112,152,214,1.1919854970228811
020455.jpg,109,115,172,196,0.9495490879823436
020456.jpg,107,106,204,222,2.4819127378750614
020457.jpg,105,109,189,257,2.1306891943610133
020458.jpg,131,112,172,181,2.0480221441219184
020460.jpg,134,115,185,235,0.9234962485654526
020461.jpg,112,106,198,247,2.1521480143184903
020463.jpg,112,125,234,251,1.7657338596342989
020464.jpg,123,107,195,238,0.8804752780002036
020465.jpg,112,87,187,238,1.5002077773637468
020466.jpg,117,106,177,220,0.8210169442918492
020467.jpg,105,117,215,248,2.589351047835474
020468.jpg,112,108,127,263,2.459215148536534
020469.jpg,201,54,64,164,3.08013887985567
020470.jpg,110,109,196,239,1.291976010678778
020471.jpg,121,93,201,226,0.8727705532295226
020472.jpg,111,116,196,218,2.057337082666688
020473.jpg,111,111,163,188,0.01781263617477905
020474.jpg,117,108,231,257,0.19681050074454115
020475.jpg,108,110,178,204,1.951343937071807
020476.jpg,117,115,164,221,1.511251773246251
020477.jpg,116,102,190,209,0.18829039927186197
020478.jpg,119,115,180,219,2.177087985294864
023417.jpg,111,121,199,241,0.6796028240925328
023420.jpg,124,108,209,251,1.0211620223267923
023421.jpg,109,113,208,216,2.947693487259413
023422.jpg,114,118,198,213,2.6662306495516637
023423.jpg,95,108,160,205,2.32760385799369
023424.jpg,107,120,209,239,0.3175589569380336
023426.jpg,118,117,205,231,2.931243940154321
023427.jpg,105,101,205,233,2.893142360754666
023428.jpg,113,111,171,212,2.3077800857874675
023430.jpg,115,114,187,240,1.9069583627640014
023431.jpg,125,111,173,205,2.4084662171200932
023432.jpg,118,117,209,241,1.0026323466732663
023433.jpg,110,117,168,187,0.7078594293114643
023434.jpg,118,117,198,221,1.7535999650756795
023435.jpg,100,105,180,213,1.6138204931534537
023436.jpg,109,112,185,192,0.8583613204145671
002439.jpg,114,110,154,163,2.0521139579787704
002441.jpg,119,121,186,254,2.6089500492456943
002442.jpg,118,108,203,230,2.6623203301231
002443.jpg,125,107,193,212,0.7069656058706063
002445.jpg,112,120,181,211,0.9862722817808004
002448.jpg,105,105,178,222,1.185982865083897
002451.jpg,95,114,168,184,1.566111560121338
002453.jpg,104,116,167,271,0.8005732547628833
002454.jpg,31,158,85,120,2.779883445915776
002455.jpg,115,107,175,256,0.4511165521845346
002457.jpg,104,118,190,214,2.974214044342749
002458.jpg,114,110,151,181,1.9471474609841148
002460.jpg,109,115,213,231,2.601145123038999
002461.jpg,106,112,218,220,2.9615453870372423
030618.jpg,99,91,172,218,1.8834281361106608
030622.jpg,116,104,154,180,1.7527474872107451
030624.jpg,103,104,198,215,2.0588830476794793
030625.jpg,121,106,113,194,1.0085255892704752
030626.jpg,100,99,165,190,0.5701411774939323
030627.jpg,109,122,197,224,2.9618114368301414
030628.jpg,115,114,198,227,0.3618042825249329
030629.jpg,111,121,207,234,2.997987550761668
030630.jpg,111,101,153,254,2.2472163404896484
030631.jpg,101,96,182,235,1.280520822723966
030632.jpg,109,118,201,204,0.8389698458322914
030633.jpg,118,106,163,263,2.3379297324882544
030634.jpg,107,108,151,221,2.693472656974302
030636.jpg,112,119,208,253,0.37201797135857756
030637.jpg,108,126,210,214,0.22109969501904073
030638.jpg,117,115,193,219,1.2887573141853086
030639.jpg,119,99,127,220,1.0262493923781435
027637.jpg,91,109,153,206,0.5333329289881611
027638.jpg,109,127,204,210,0.36252586602228987
027639.jpg,113,110,176,213,0.7917621197173288
027641.jpg,115,116,166,199,0.22205898228844406
027642.jpg,108,114,151,213,1.647510279891283
027643.jpg,108,125,164,183,1.378770960607496
027644.jpg,119,103,193,228,1.1602115883732549
027645.jpg,151,111,147,191,0.8764754763590137
027646.jpg,123,114,214,255,0.22391691997818106
027647.jpg,109,119,220,229,0.8687036399288627
027648.jpg,113,118,249,259,1.6335373394419097
027650.jpg,108,108,160,185,1.791277968703957
027651.jpg,41,33,75,119,1.0063042466052403
027652.jpg,120,108,210,234,2.859245912716246
027653.jpg,118,120,210,226,0.36410195804491235
027654.jpg,114,115,163,214,1.3088561909321363
027655.jpg,103,111,147,210,1.2665887617973253
027656.jpg,102,112,211,235,1.8397190047197354
027657.jpg,100,98,170,226,2.32191028589921
027658.jpg,116,109,201,243,1.1387542331543774
027661.jpg,133,118,217,246,0.5132646120148417
027662.jpg,109,120,206,224,3.132883317876907
027664.jpg,124,105,166,252,0.9166892753982373
027665.jpg,117,116,190,251,0.5931763225006274
027667.jpg,111,109,180,226,1.7564783095818373
006559.jpg,121,102,183,198,1.528764720574612
006560.jpg,108,114,198,243,2.6995790190377447
006562.jpg,110,114,199,220,0.021442123185798936
006563.jpg,118,95,188,222,2.515365503275874
006565.jpg,116,100,190,197,0.7098042692765218
006566.jpg,129,119,167,211,2.180505619921763
006567.jpg,119,88,201,233,0.8792989597467157
006568.jpg,121,109,154,216,2.0394445017249367
006569.jpg,105,96,175,208,1.5506030409874254
006570.jpg,111,110,155,204,1.1191076943186993
006571.jpg,105,97,124,182,0.977911087801415
006572.jpg,113,110,164,187,1.9839687256897138
006574.jpg,121,95,164,228,0.9782335300303964
006575.jpg,107,124,219,240,0.2801921436831318
006576.jpg,102,112,186,225,1.5899975850963133
006579.jpg,112,109,181,241,2.2667463660276352
006580.jpg,114,102,187,205,2.0287894605196386
006581.jpg,190,46,88,145,2.767648084919625
006582.jpg,96,114,202,239,2.0338028612717123
006583.jpg,25,53,69,157,0.0034453556891477543
006584.jpg,118,104,179,248,0.6600579514314684
009902.jpg,117,113,157,185,1.6732609171034774
009903.jpg,22,44,71,124,0.12640310452416564
009904.jpg,113,117,215,254,2.684053322514801
009905.jpg,107,108,125,220,1.0922039083545008
009906.jpg,109,108,194,225,2.030320778146434
009907.jpg,118,111,211,220,0.8911184015596235
009908.jpg,111,123,223,247,0.07310994712745271
009909.jpg,106,134,187,229,0.6539382735625754
009910.jpg,115,108,169,186,2.335221297659644
009911.jpg,115,106,146,221,1.9403510738822325
009912.jpg,116,119,167,233,0.8567757408805613
009913.jpg,111,119,173,203,2.2296947378877445
009914.jpg,114,118,206,232,2.6134611778161796
009916.jpg,113,110,151,169,1.7442002048501906
009917.jpg,155,144,90,115,0.0718548409175904
009918.jpg,109,102,196,225,0.893019299366695
009919.jpg,108,121,225,247,0.42958759122184775
009920.jpg,109,120,126,146,1.9880296468779213
009921.jpg,105,108,192,221,1.1829769551615246
009923.jpg,121,105,186,218,1.393551770973545
009929.jpg,66,155,160,191,2.4734060687211303
018564.jpg,110,118,202,233,0.5524594856210012
018567.jpg,112,104,178,213,1.0452349346312637
018569.jpg,105,124,195,224,0.005153206826478968
018572.jpg,112,109,173,211,1.9680608655503435
018573.jpg,116,113,178,215,1.3401062557953443
018575.jpg,115,120,198,220,3.1183754815225915
018576.jpg,117,114,169,225,1.8287599636760048
018578.jpg,109,102,163,209,2.168082106594598
018580.jpg,107,117,187,195,0.7325827521331604
018581.jpg,117,117,209,243,3.091570765150944
018582.jpg,111,93,169,207,1.6184460044927578
018583.jpg,100,141,108,197,1.6896821015429604
018584.jpg,111,103,131,211,1.7807853803251539
018585.jpg,124,91,154,205,0.8337529129939081
018586.jpg,108,111,184,219,2.114865623270144
018588.jpg,113,108,165,208,2.1908926139633444
018589.jpg,141,105,148,216,2.7453939119025956
018590.jpg,103,121,223,231,2.1846123474807198
018591.jpg,117,121,189,205,1.765120933109417
018592.jpg,121,107,177,245,0.43419552569795733
018594.jpg,106,115,152,218,1.6959174937612171
018595.jpg,118,114,178,209,1.8979287819300332
015880.jpg,108,107,150,220,2.009902987859069
015882.jpg,115,93,216,243,1.8541255077945737
015883.jpg,23,56,67,208,0.14698510365986925
015884.jpg,109,109,136,218,1.0949289879399244
015885.jpg,115,107,187,235,1.9559168509795821
015886.jpg,126,96,196,245,1.601604306917151
015887.jpg,118,114,200,249,0.9502645462091934
015888.jpg,116,117,224,232,2.8111899697940936
015889.jpg,186,30,83,110,1.8637520361868831
015890.jpg,122,101,114,184,1.176620921745887
015892.jpg,104,104,163,196,2.2644296821953755
015893.jpg,109,110,188,211,1.477324299381132
015894.jpg,112,111,208,217,2.9667366869501337
015895.jpg,86,106,181,208,2.5262027046997333
015896.jpg,112,131,218,234,0.6102591027339133
015897.jpg,122,102,168,202,0.6578251571735461
015898.jpg,128,112,177,187,0.43057399280009945
015899.jpg,100,109,158,221,1.9978212912578155
015900.jpg,107,128,199,225,2.8715403958885974
015901.jpg,113,110,163,204,1.8433185332490865
015903.jpg,126,109,178,248,1.1716959379420033
015904.jpg,103,124,188,208,0.6727764764283872
015905.jpg,117,108,198,238,1.7876262422172406
015906.jpg,111,117,184,217,2.3845963042697127
015909.jpg,115,124,184,208,0.8748737181213855
015911.jpg,109,116,156,163,1.9380166800287235
015912.jpg,124,115,206,225,1.1146573524000951
015913.jpg,108,119,195,236,0.1555232147594201
015914.jpg,107,122,204,237,0.03807626688573129
015915.jpg,137,91,165,210,0.7279366678744355
015916.jpg,118,90,196,230,0.5942909219958527
001408.jpg,108,130,215,248,2.028832204255134
001409.jpg,117,101,195,204,1.636817421798506
001411.jpg,115,104,123,193,1.0364688070081318
001412.jpg,107,110,175,195,1.840329001767418
001413.jpg,111,105,234,264,1.1271670855675515
001414.jpg,103,108,152,166,2.420309294487675
001415.jpg,116,106,185,224,2.273912399888821
001417.jpg,106,109,214,237,1.8394456312338388
001418.jpg,128,118,180,233,1.8159166030029887
001421.jpg,116,114,209,222,0.29651758748142654
001426.jpg,111,117,192,261,2.3829411496522286
001428.jpg,111,120,182,187,1.7262145464283403
001429.jpg,114,107,154,173,1.7221995647689368
001431.jpg,109,119,204,249,0.4024836021227025
001432.jpg,103,107,130,208,2.346491262760641
001433.jpg,97,109,180,201,3.0298599963716275
001435.jpg,105,120,198,221,0.21696034373673057
001436.jpg,130,119,180,221,0.1373694276490019
001437.jpg,104,111,174,197,2.0170619643433656
001438.jpg,109,110,190,229,1.7042490600734757
001439.jpg,104,96,195,212,1.0857061281898437
001440.jpg,108,99,116,202,1.0679831906095298
001441.jpg,96,100,138,219,1.3444943463234678
001442.jpg,116,106,187,202,1.6115581378074315
001443.jpg,112,106,193,216,0.3614763142366897
001444.jpg,147,121,144,177,2.89953288210642
001445.jpg,105,100,152,189,2.0804190993085685
033474.jpg,112,106,142,172,0.2550265030938872
033475.jpg,118,113,193,223,1.2191008711356863
033476.jpg,109,124,225,236,0.7048232259316922
033477.jpg,105,113,175,223,2.173424141425188
033478.jpg,129,153,140,180,1.7286883567649147
033479.jpg,124,112,177,217,1.4908012260774777
033480.jpg,100,102,176,211,1.6299134429885846
033482.jpg,122,103,197,204,2.3803480296988186
033483.jpg,115,94,202,241,2.1115499877129955
033485.jpg,146,104,116,184,3.0766773030707846
033486.jpg,120,95,194,212,0.8994744689539107
033488.jpg,124,101,166,199,0.6897555265372145
033491.jpg,118,111,200,230,1.778246189383818
033492.jpg,110,107,226,245,1.5432223563423797
033493.jpg,113,121,186,193,2.66657526259672
033494.jpg,127,110,195,220,2.3653517696005824
003293.jpg,85,106,163,205,0.8073988700577291
003294.jpg,103,117,177,244,2.3908994739377123
003296.jpg,94,110,150,238,1.042157851728759
003297.jpg,103,104,198,215,2.763443486190608
003300.jpg,100,113,159,217,1.8248967821987359
003301.jpg,119,115,175,235,0.9738358521223485
003303.jpg,132,104,177,221,1.5497280594112797
003304.jpg,120,117,199,225,1.3823953896930397
003305.jpg,122,110,170,179,2.183751081184188
003307.jpg,114,102,214,226,2.521930195362919
003309.jpg,117,118,209,249,2.912670788395999
003311.jpg,121,101,166,221,1.132994880980972
003312.jpg,115,98,149,163,2.928568262207118
003315.jpg,128,112,114,182,2.2454381478298022
003316.jpg,107,114,150,186,1.0935288975758426
003317.jpg,113,119,163,223,1.9463258757878252
003318.jpg,105,112,151,174,2.7657883995304227
003320.jpg,115,116,169,224,1.4427672542343184
003321.jpg,114,104,148,202,0.9153327942970054
003322.jpg,101,111,134,167,0.7318415944017913
003323.jpg,93,101,184,214,0.7322253559148717
003324.jpg,123,111,205,219,2.99357655704817
012653.jpg,108,133,195,213,3.0437704856934387
012654.jpg,115,127,217,237,0.5240070049038944
012656.jpg,129,108,232,248,1.3931710720957182
012657.jpg,113,110,183,209,1.0222808828797618
012658.jpg,18,26,61,86,0.44363470070757965
012659.jpg,117,121,171,239,2.237347730754251
012660.jpg,116,141,152,173,0.1426997612155523
012663.jpg,138,125,202,258,0.553392291082315
012664.jpg,111,120,207,246,0.34878688427468013
012665.jpg,115,115,192,217,1.2372420581651973
012666.jpg,115,131,202,228,1.4140481245130672
012668.jpg,107,100,180,192,2.1310832090442906
012669.jpg,103,114,182,265,2.144429374531114
012670.jpg,119,112,170,222,0.7948790834571576
012673.jpg,115,116,210,216,1.3473624376594286
012674.jpg,124,96,166,220,0.9298566096178617
012675.jpg,116,96,175,190,0.07817046086368606
012676.jpg,73,205,49,252,1.6069142506566056
012677.jpg,124,108,171,216,1.9588704297865345
012678.jpg,155,114,150,177,2.8965717132903612
012679.jpg,128,111,110,152,1.6627214570894886
012681.jpg,111,113,236,242,2.6580603376434095
012683.jpg,138,109,209,223,1.4951846560736937
012686.jpg,129,104,192,231,1.788327319374204
012687.jpg,115,111,198,210,1.8246949145881077
012689.jpg,135,124,186,224,0.37345644453187027
012691.jpg,108,122,210,245,0.1728406361294989
012692.jpg,96,96,169,221,2.0699130619662607
036040.jpg,122,107,214,247,0.6967166301525183
036042.jpg,107,113,164,209,1.1009562541189917
036046.jpg,107,110,176,206,1.8235074110580416
036047.jpg,111,103,175,211,2.4252180330089095
036049.jpg,107,116,208,249,2.7669167808842894
036051.jpg,115,124,159,183,1.0618776274944142
036053.jpg,127,104,200,246,1.7581141562814184
036054.jpg,112,122,238,252,1.9857888631367284
036055.jpg,112,109,150,172,1.6867081495536689
036056.jpg,129,109,184,236,2.011669063135955
036058.jpg,115,107,172,227,2.306130790124381
036061.jpg,105,112,174,230,2.140976985651989
036063.jpg,53,104,48,133,0.16657491716432862
036064.jpg,126,112,146,220,1.1035068300739879
036065.jpg,134,121,215,240,0.722588973826529
036066.jpg,105,125,186,250,1.3281218977319331
036067.jpg,121,114,153,219,1.425797991242497
036068.jpg,122,120,232,247,0.5372509050048584
036069.jpg,129,107,154,176,0.9656188017369635
036070.jpg,107,109,204,229,1.8808304887833975
